card_name,card_type,card_description,rarity,card_id,belongs_to,card_phrase,acquisition,illustrator,related_tags,splendor,mana_cost,base_power,damage_type,activation_level,skill_descriptions,character_nickname,unique_card_id,card_features
博丽灵梦,Character,"CENTER：行云流水
【战斗阶段限1次】你的灵梦战斗符卡【交战时】，若击破对阵符卡：对对手造成500点弹幕伤害，并回复500点体力。
HYPER：博丽幻影
【攻击阶段开始时】将弃牌堆中至多3张不同名的「梦想封印」加入手牌。",R,RM-C01,博丽灵梦,看上去似乎很悠闲，实际上就是很悠闲,RP01-2023.4,霏茶,"""[""击破"",""回复"",""弃牌堆"",""加入手牌"",""交战时""]""",,,,,,"""[""CENTER：行云流水【战斗阶段限1次】你的灵梦战斗符卡【交战时】，若击破对阵符卡：对对手造成500点弹幕伤害，并回复500点体力。"",""HYPER：博丽幻影【攻击阶段开始时】将弃牌堆中至多3张不同名的「梦想封印」加入手牌。""]""",乐园的奇妙巫女,1001,
博丽灵梦,Character,"CENTER：灵能结界
【防御阶段限1次】你的战斗符卡【发动时】：令其战力+1000。
HYPER：祈雨之阵
【固有】你受到的非战斗伤害-500。【战斗阶段结束时】若本回合你未受到过伤害：回复500点体力，并抽取1张卡牌。",SR,RM-C02,博丽灵梦,「为什么她是人类而非妖怪昵?」「那就是DNA的问题了…」,EP01-2023.4,霏茶,"""[""防御"",""战力"",""发动时"",""减伤"",""回复"",""抽取""]""",,,,,,"""[""CENTER：灵能结界【防御阶段限1次】你的战斗符卡【发动时】：令其战力+1000。"",""HYPER：祈雨之阵【固有】你受到的非战斗伤害-500。【战斗阶段结束时】若本回合你未受到过伤害：回复500点体力，并抽取1张卡牌。""]""",自由奔放的人类,2001,
灵符「梦想妙珠」,Battle,【攻击阶段】【闭幕时】若命中：回复1点灵力。 【攻击阶段】【空闲时】若本卡在手牌中：将本卡与弃牌堆或华丽区中的1张「梦想封印」交换。,R,RM-001,博丽灵梦,,EP01-2023.4,,"""[""闭幕时"",""空闲时""]""",1,1,1500,弹幕,S,,,001001,
神灵「梦想封印」,Battle,【开幕时】若有对阵符卡：对对手造成500点弹幕伤害。直至本回合结束，封印对手场上的1张卡牌。,SR,RM-002,博丽灵梦,,EP01-2023.4,,"""[""开幕时""]""",5,3,3000,弹幕,S,,,001002,
梦符「封魔阵」,Battle,【稳定】（【防御阶段】【交战时】若击破对阵符卡：回复500点体力。）,N,RM-003,博丽灵梦,,RP01-2023.4,,,1,1,1500,弹幕,S,,,001003,"""[""稳定""]"""
梦符「二重结界」,Battle,【稳定】（【防御阶段】【交战时】若击破对阵符卡：回复500点体力。）,N,RM-004,博丽灵梦,,RP01-2023.4,,,2,2,2500,弹幕,S,,,001004,"""[""稳定""]"""
结界「扩散结界」,Battle,【稳定】（【防御阶段】【交战时】若击破对阵符卡：回复500点体力。）,N,RM-005,博丽灵梦,,RP01-2023.4,,,3,3,3500,弹幕,S,,,001005,"""[""稳定""]"""
祈愿「驱除厄运之祈愿」,Battle,【开幕时】查看牌堆顶的至多3张卡牌，将其中的1张加入手牌，并将其余卡牌返回牌堆洗切。,N,RM-006,博丽灵梦,,RP01-2023.4,,"""[""开幕时""]""",2,2,2000,弹幕,S,,,001006,
散灵「梦想封印 寂」,Status,【攻击阶段开始时】可发动：直至本回合结束，你发动的{灵力}费用不大于2的灵梦{战斗}符卡具有【诱导】，且你因【诱导】造成的伤害+500。,N,RM-007,博丽灵梦,,RP01-2023.4,,,0,0,,,S,,,001007,
灵符「梦想封印 集」,Battle,【固有】若本回合你已发动过「梦想封印」，你可无视华丽度限制发动本卡。,N,RM-008,博丽灵梦,,RP01-2023.4,,,2,2,2500,弹幕,S,,,001008,"""[""固有""]"""
珠符「明珠暗投」,Battle,【诱导】（【攻击阶段】【闭幕时】若命中：对对手造成500点{弹幕}伤害。） 【攻击阶段】【闭幕时】若未命中：抽取1张卡牌。,N,RM-009,博丽灵梦,,RP01-2023.4,,,1,1,1000,弹幕,S,,,001009,"""[""诱导""]"""
宝符「阴阳宝玉」,Battle,【诱导】（【攻击阶段】【闭幕时】若命中：对对手造成500点{弹幕}伤害。）,N,RM-010,博丽灵梦,,RP01-2023.4,,,2,1,1500,弹幕,S,,,001010,"""[""诱导""]"""
神技「天霸风神脚」,Battle,【固有&攻击阶段】本卡的灵力消耗+X，战力+1000*X（X为本回合你发动的神技「天霸风神脚」的数量，不包括本次）。 【攻击阶段】本卡因战斗即将被弃置或置于华丽区时：转变为将本卡明置加入手牌。 （锁）【攻击阶段结束时】若本卡在手牌中且明置：弃置本卡。,N,RM-011,博丽灵梦,,RP01-2023.4,,,3,1,1000,体术,S,,,001011,"""[""固有""]"""
梦符「封魔亚空穴」,Trap,【攻击阶段】你的灵梦战斗符卡的对阵符卡【发动时】，可发动：终止所有结算，并视为你无条件发动1张同名的灵梦战斗符卡。,N,RM-012,博丽灵梦,,RP01-2023.4,,,0,2,,,S,,,001012,
灵符「梦想封印 散」,Battle,【开幕时】展示牌堆中1张与本卡不同名的「梦想封印」，将其加入手牌，并洗切牌堆。,R,RM-013,博丽灵梦,,EP01-2023.4,,,1,1,1000,弹幕,S,,,001013,
回灵「梦想封印 侘」,Delay,【咏唱：3】。 【战斗阶段限1次】你的「行云流水」或「灵能结界」结算完毕时，将本卡的【咏唱-1】：回复500点体力。直至本回合结束，封印对手符力区或华丽区中的1张卡牌。 【咏唱即将归零时】将弃牌堆中1张与本卡不同名的「梦想封印」加入手牌。,R,RM-014,博丽灵梦,,EP01-2023.4,,,0,2,,,S,,,001014,
梦符「梦想亚空穴」,Trap,【防御阶段】对手的战斗符卡【发动时】，可发动：直至其结算完毕，防止其对你造成的伤害。,R,RM-015,博丽灵梦,,EP01-2023.4,,,0,2,,,S,,,001015,
神技「八方鬼缚阵」,Battle,【防御阶段】【闭幕时】将弃牌堆中的X张「梦符」移至隙间（X至多为8）：直至本回合结束，封印对手场上的X张卡牌。,R,RM-016,博丽灵梦,,EP01-2023.4,,,4,2,2000,体术,S,,,001016,
宝具「阴阳鬼神玉」,Battle,【诱导】（【攻击阶段】【闭幕时】若命中：对对手造成500点{弹幕}伤害。） 【攻击阶段】【闭幕时】若本卡未命中：下一个【空闲时】，你可从弃牌堆中无条件发动1张宝符「阴阳宝玉」。,R,RM-017,博丽灵梦,,EP01-2023.4,,,4,2,2000,弹幕,S,,,001017,"""[""诱导""]"""
光灵「神灵宝珠」,Status,【战斗阶段开始时】可发动：将弃牌堆中的1张「珠」或「玉」加入手牌。直至本回合结束，你获得『你的含有「珠」或「玉」的战斗符卡【发动时】：回复500点体力或令其战力+500』（※你不可重复获得此能力）。,R,RM-018,博丽灵梦,,EP01-2023.4,,,0,1,,弹幕,S,,,001018,
神灵「梦想封印 瞬」,Battle,【闭幕时】将对手CENTER位置的角色卡移至SUPPORT位置，并令其获得『（锁）本阶段结束时：将本卡移至CENTER位置』。 【攻击阶段】每局限1次，你的「梦想封印」【闭幕时】，若灵梦处于CENTER状态，弃置手牌中的本卡：对对手造成1000点特殊伤害。,SR,RM-019,博丽灵梦,,EP01-2023.4,,,5,2,2500,弹幕,C,,,001019,
梦境「二重大结界」,Battle,【稳定】（【防御阶段】【交战时】若击破对阵符卡：回复500点体力。） 【发动时】将弃牌堆中的X张「梦符」或「结界」移至隙间（X至多为3）：由「本卡战力+500」、「直至本卡结算完毕，防止你受到的非战斗伤害」与「回复1点灵力」之中，依次结算X个效果。,SR,RM-020,博丽灵梦,,EP01-2023.4,,,4,3,3500,弹幕,S,,,001020,"""[""稳定""]"""
神技「八方龙杀阵」,Battle,※额外费用：将体力转变为0。※发动需要：本局游戏中你未发动过终符。 【终符】（【固有】本卡不可被相杀，不可被终符以外的效果破坏，且可无视华丽度限制与不可被相杀效果发动。（锁）【发动时】破坏对阵符卡。） （锁）【闭幕时】将本卡横置于对手的华丽区顶部，并将本卡封印。 （锁）【战斗阶段结束时】若本卡在对手的华丽区中：解除本卡的封印，并将本卡移至隙间。,SR,RM-021,博丽灵梦,,EP01-2023.4,,,8,0,0,体术,EX,,,001021,
「梦想天生」,Status,※额外费用：弃置符力区中的3张「梦」。 【战斗阶段开始时】可发动：你获得『【咏唱：7】。【战斗阶段结束时】若本回合你未受到过伤害：将此能力的【咏唱-1】。 【咏唱即将归零时】将对手的体力上限转变为0』（※你不可重复获得此能力）。,SSR,RM-022,博丽灵梦,,EP01-2023.4,,,0,0,,,C,,,001022,
